NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
767	degree (unit of measurement)	degree (unit of measurement)	unit of measurement of angle or temperature		N/a
768	delicate, subtle (person, question etc.)	delicate, subtle (person, question etc.)			Evaluation
769	den (of thieves etc.)	den (of thieves etc.)	place where people meet in secret, typically to engage in an illicit activity		N/a
770	dense (forest)	dense (forest)			N/a
771	dense, thick (liquid)	dense, thick (liquid)			Other physical
772	dependant	dependant	a person who depends on another for support, particularly financial support		N/a
773	deprived of, lacking	deprived of, lacking			Non-physical
774	descendant	descendant	one of the progeny of a specified person, at any distance of time or through any number of generations		Human being
775	desert (n.)	desert (n.)			Natural objects
776	destiny	destiny			Abstract entities
777	detailed, thorough	detailed, thorough			Non-physical
778	detective	detective			Human being
779	devil, satan	devil, satan			Abstract entities
780	dew	dew	moisture from the atmosphere condensed by cool bodies upon their surfaces		Natural objects
781	dew	dew			Natural objects
782	diabetes	diabetes	any of a group of metabolic diseases whereby a person (or other animal) has high blood sugar due to an inability to produce, or inability to metabolize, sufficient quantities of the hormone insulin		N/a
783	dialect	dialect	variety of a language that is characteristic of a particular area, community or social group, differing from other varieties of the same language in relatively minor ways as regards grammar, phonology, and lexicon		Abstract entities
784	dialect	dialect	variety of a language that is characteristic of a particular area		Human being
785	diamond	diamond	glimmering glass-like mineral that is an allotrope of carbon in which each atom is surrounded by four others in the form of a tetrahedron; a gemstone made from this mineral		N/a
786	diamonds (in cards)	diamonds (in cards)	one of the four suits of playing cards, marked with the symbol ♦		Abstract entities
787	diaphragm	diaphragm	in mammals, a sheet of muscle separating the thorax from the abdomen, contracted and relaxed in respiration to draw air into and expel air from the lungs		N/a
788	dictionary	dictionary			N/a
789	different	different	not the same, exhibiting a difference		N/a
790	difficult	difficult	not easy, requiring much effort		Evaluation
791	digit (mathematics)	digit (mathematics)	whole numbers from 0 to 9 and the Arabic numerals representing them, which are combined to represent base-ten numbers		N/a
792	dimple	dimple			N/a
793	dinner fork	dinner fork			Artifacts
794	dinner, evening meal	dinner, evening meal	evening meal		N/a
795	direction	direction			Abstract entities
796	directly	directly			N/a
797	dirty	dirty			Other physical
798	disc	disc	thin, flat, circular plate or similar object		N/a
799	disease	disease			Abstract entities
800	disgrace	disgrace			Abstract entities
801	disgusting	disgusting			N/a
802	dishonest	dishonest			N/a
803	disorder, mess	disorder, mess			Abstract entities
804	dispute, discussion	dispute, discussion			N/a
805	dissimilar, distinct	dissimilar, distinct	not the same, exhibiting a difference		N/a
806	dissolute	dissolute	unrestrained by morality		N/a
807	distance	distance			Space
808	distilled alcohol	distilled alcohol	alcoholic drink produced by distillation of grains, fruits, vegetables, or sugar, that have already gone through alcoholic fermentation		Artifacts
809	distressing event	distressing event			N/a
810	diver	diver	a person who stays underwater for long periods by having air supplied from the surface or by carrying a supply of compressed air (Merriam-Webster)		N/a
811	do not see	do not see			N/a
812	dock-tailed, tailless	dock-tailed, tailless			Other physical
813	doctor, physician	doctor, physician	medical doctor trained in human medicine		Human being
814	document (n.)	document (n.)			Artifacts
815	dog	dog	mammal, Canis familiaris or Canis lupus familiaris, that has been domesticated for thousands of years, of highly variable appearance due to human breeding		Animals
816	dog-rose	dog-rose	European wild rose, Rosa canina, having fragrant white or pink flowers and stems with sharp spines		Plants
817	doll	doll	toy in the form of a human		Artifacts
818	dolphin	dolphin	aquatic mammal in one of several families of order Cetacea, famed for its intelligence and occasional willingness to approach humans		N/a
819	domestic (animal)	domestic (animal)			Non-physical
820	donkey	donkey	domestic animal, Equus asinus asinus, similar to a horse		Animals
821	donut	donut			N/a
822	doomsday	doomsday	day when God is expected to judge the world; end times		Time
823	door	door	portal of entry into a building, room, or vehicle, consisting of a rigid plane movable on a hinge		Artifacts
824	door bolt	door bolt	bar of wood or metal dropped in horizontal hooks on a door and adjoining wall or between the two sides of a double door, to prevent the door(s) from being forced open		Evaluation
825	doorpost	doorpost	either of the upright posts on either side of a door, which together support a lintel		Artifacts
826	dormouse	dormouse	any of several species of small, mostly European rodents of the family Gliridae; also called Myoxidae or Muscardinidae by some taxonomists		N/a
827	dough	dough	thick, malleable substance made by mixing flour with other ingredients such as water, eggs, and/or butter, that is made into a particular form and then baked		Artifacts
828	downriver	downriver			N/a
829	downstream	downstream			N/a
830	downy birch	downy birch	Betula pubescens, also moor birch, white birch, European white birch or hairy birch, a species of deciduous tree, native and abundant throughout northern Europe and northern Asia, growing farther north than any other broadleaf tree. It is closely related to, and often confused with, the silver birch (B. pendula), but grows in wetter places with heavier soils and poorer drainage		N/a
831	dowry	dowry	payment, such as property or money, paid by the bride&#39;s family to the groom or his family at the time of marriage		N/a
832	dragon	dragon			Animals
833	dragonfly	dragonfly			Animals
834	drama (theatre)	drama (theatre)			N/a
835	draught animal	draught animal	strong working animal used to draw a load like a cart, a plough etc., as opposed to a mount		Animals
836	dream (during sleep)	dream (during sleep)	imaginary events seen in the mind while sleeping		Abstract entities
837	dress (feminine)	dress (feminine)	an item of clothing (usually worn by a woman or young girl) which both covers the upper part of the body and includes a skirt below the waist		N/a
838	drinking vessel	drinking vessel			N/a
839	driver (of a motorized vehicle)	driver (of a motorized vehicle)	person who drives a motorized vehicle such as a car or a bus		N/a
840	driver's seat	driver&#39;s seat			N/a
841	drone	drone	male bee, which does not work but can fertilize the queen		Animals
842	drop (n.)	drop (n.)			Natural objects
843	drug, medicine	drug, medicine	substance used to treat an illness, relieve a symptom, or modify a chemical process in the body for a specific purpose		Artifacts
844	drum	drum	The drum is a member of the percussion group of musical instruments. In the Hornbostel-Sachs classification system, it is a membranophone. Drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with the player&#39;s hands, or with a percussion mallet, to produce sound. There is usually a resonant head on the underside of the drum.   (Wiki)		N/a
845	drunk	drunk	intoxicated as a result of excessive alcohol consumption, usually by drinking alcoholic beverages		Other physical
846	drunkard	drunkard			Human being
847	dry	dry			Other physical
848	dry	dry			Tactile quality
849	dry (wine)	dry (wine)	(wine and other alcoholic beverages) low in sugar; lacking sugar; unsweetened		N/a
850	dry sandy soil	dry sandy soil			N/a
851	dry season	dry season	yearly period of low rainfall in the tropics		Non-physical
852	duck	duck			N/a
853	duckweed	duckweed	reduced floating aquatic plants in the subfamily Lemnoideae of the family Araceae		N/a
854	duffer	duffer	incompetent or clumsy person.		N/a
855	dump	dump	place where waste or garbage		N/a
856	dumpling	dumpling	food composed of a dough wrapper around a filling		N/a
857	dung	dung			Physiology
858	dung-beetle	dung-beetle	Any of the beetle of the family Scarabaeidae (scarab beetles), especially of the subfamilies Scarabaeinae and Aphodiinae, noted for rolling dung into balls for use as food or as brooding chambers		N/a
859	dust	dust			Natural objects
860	dust	dust			Natural objects
861	duty, responsibility	duty, responsibility			N/a
862	dwarf	dwarf			N/a
863	dyer's greenweed (Genista tinctoria)	dyer&#39;s greenweed (Genista tinctoria)	leguminous plant Genista tinctoria, native to Europe		N/a
864	dysentery	dysentery	type of gastroenteritis that results in bloody diarrhea		N/a
865	ethnic group	&lt;ethnic group&gt;			Abstract entities
866	exclamation of surprise, pain or sorrow	&lt;exclamation of surprise, pain or sorrow&gt;			N/a
867	expletive	&lt;expletive&gt;			N/a
868	expression of anger	&lt;expression of anger&gt;			N/a
869	eagle	eagle			Animals
870	eagle-owl (Bubo bubo)	eagle-owl (Bubo bubo)			N/a
871	ear	ear	external part of the organ of hearing, the auricle		Body parts
872	ear, spike (of a grain plant)	ear, spike (of a grain plant)	fruiting body of a grain plant		Plants
873	earlier	earlier			N/a
874	early	early			Time
875	earnest, serious	earnest, serious	None		Evaluation
876	earring	earring			Artifacts
877	earth	earth			Natural objects
878	earth oven	earth oven	cooking pit, a pit in the ground used to trap heat and bake, smoke, or steam food		N/a
879	earth, soil	earth, soil			Natural objects
880	earthworm	earthworm	worm of the family Lumbricidae, or, more generally, of the suborder Lumbricina		N/a
881	East	East			Space
882	East	East	None		Space
883	Easter	Easter			N/a
884	eater	eater			Human being
885	eaves	eaves	underside of a roof that extends beyond the external walls of a building		N/a
886	echo	echo	reflected sound that is heard again by its initial observer		N/a
887	eclipse	eclipse	alignment whereby a planetary object (for example, the Moon) comes between the Sun and another planetary object (for example, the Earth), resulting in a shadow being cast by the middle planetary object onto the other planetary object		Natural objects
888	edge (of an instrument)	edge (of an instrument)	thin cutting side of the blade of an instrument		N/a
889	edge, border	edge, border	None		Space
890	eel (Anguilla anguilla)	eel (Anguilla anguilla)			Animals
891	effeminate	effeminate			N/a
892	egg	egg			Natural objects
893	eggplant (Solanum melongena)	eggplant (Solanum melongena)			N/a
894	Egyptian vulture	Egyptian vulture	bird Neophron percnopterus		Physical processes
895	eight	eight	numerical value equal to 8; the number occurring after seven and before nine		N/a
896	elbow	elbow			Body parts
897	elbow piece (tube)	elbow piece (tube)			N/a
898	elder	elder			Time
899	elder (Sambucus)	elder (Sambucus)			Plants
900	elder brother	elder brother			N/a
901	elder brother's wife	elder brother&#39;s wife	elder sister-in-law		N/a
902	elder sister	elder sister			N/a
903	electric lamp	electric lamp			Artifacts
904	electrical fan	electrical fan	electrical or mechanical device for moving air, used for cooling people, machinery, etc.		Artifacts
905	electricity	electricity			Natural objects
906	elephant	elephant			Animals
907	eleven	eleven	cardinal number occurring after ten and before twelve. Represented as 11 in Arabic digits		N/a
908	elm	elm			Plants
909	elongated object	elongated object			Space
910	ember	ember	glowing piece of coal or wood; a hot coal		N/a
911	embroidery on the hem	embroidery on the hem			N/a
912	eminent man	eminent man			Human being
913	emotionless	emotionless			Non-physical
914	empty	empty			Other physical
915	Emu (Dromaius novaehollandiae)	Emu (Dromaius novaehollandiae)			N/a
916	end	end			Space
917	ending (in grammar)	ending (in grammar)			Abstract entities
918	endless, infinite	endless, infinite			N/a
919	enemy	enemy			Human being
920	engaged, bridegroom	engaged, bridegroom			N/a
921	Englishman	Englishman			Human being
922	enough	enough			Abstract relations
923	entada (plant)	entada (plant)	genus of flowering plants in the family Fabaceae, in the mimosoid clade of the subfamily Caesalpinioideae		N/a
924	enthusiastic person	enthusiastic person			N/a
925	entire	entire			Non-physical
926	entirely	entirely			Abstract relations
927	envious	envious			Emotions
928	epidemic	epidemic			Physiology
929	equal	equal			Non-physical
930	ermine; stoat (Mustela erminea)	ermine; stoat (Mustela erminea)			Animals
931	error	error			Abstract entities
932	erysipelas	erysipelas			N/a
933	essay (in school)	essay (in school)			N/a
934	essence	essence			Abstract entities
935	eternal	eternal	lasting forever, or for an indefinitely long time		N/a
936	eternity	eternity			N/a
937	ethnic group	ethnic group			N/a
938	eunuch	eunuch			Human being
939	Eurasian hoopoe	Eurasian hoopoe	bird Upupa epops		Plants
940	Eurasian nuthatch	Eurasian nuthatch	bird Sitta europaea		Other physical
941	Eurasian scops owl	Eurasian scops owl	bird Otus scops		N/a
942	Eurasian skylark	Eurasian skylark	bird Alauda arvensis		N/a
943	Eurasian woodcock	Eurasian woodcock	Scolopax rusticola, a medium-small wading bird found in temperate and subarctic Eurasia		N/a
944	Eurasian wryneck	Eurasian wryneck	bird Jynx torquilla		Natural objects
945	Europe	Europe			N/a
946	European blueberry	European blueberry	plant Vaccinium myrtillus		N/a
947	european kingfisher (Alcedo atthis)	european kingfisher (Alcedo atthis)			Animals
948	European robin	European robin	bird Erithacus rubecula		N/a
949	European whitefish	European whitefish	freshwater fish Coregonus lavaretus		N/a
950	evening	evening			Time
951	event, occurrence	event, occurrence			Abstract entities
952	evident	evident			Non-physical
953	evil (adj.)	evil (adj.)			Evaluation
954	evil eye	evil eye			Abstract entities
955	evil spirit	evil spirit			Abstract entities
956	evil spirit	evil spirit			Human being
957	exact	exact			Abstract entities
958	exactly	exactly			N/a
959	excellent	excellent	of the highest quality		N/a
960	exceptional	exceptional			N/a
961	excessive, extra	excessive, extra	more than normal, more than needed		N/a
962	exchange	exchange			Abstract entities
963	executioner	executioner	official person who carries out the capital punishment of a criminal		N/a
964	expensive	expensive			Non-physical
965	experience of great suffering	experience of great suffering			N/a
966	experienced	experienced			N/a
967	extinct	extinct			Light and Colour
968	extortioner	extortioner			Human being
969	eye	eye			Body parts
970	eye (of potato)	eye (of potato)	reproductive bud in a potato		N/a
971	eye of a needle	eye of a needle			N/a
972	eye of typhoon	eye of typhoon	relatively calm and clear centre of a hurricane or other cyclonic storm		Natural objects
973	eye socket	eye socket			N/a
974	eyeball	eyeball			N/a
975	eyebright (Euphrasia officinalis)	eyebright (Euphrasia officinalis)			Plants
976	eyebrow	eyebrow			Body parts
977	eyelash	eyelash			Body parts
978	eyelid	eyelid			Body parts
979	(fishing) sinker	(fishing) sinker	weight used in fishing to cause the line or net to sink		N/a
980	female animal	&lt;female animal&gt;			N/a
981	fish	&lt;fish&gt;			Animals
982	foot-wear	&lt;foot-wear&gt;			Artifacts
983	foreign country	&lt;foreign country&gt;	A variable for any country name		N/a
984	foreigner	&lt;foreigner&gt;			Human being
985	fruit	&lt;fruit&gt;			Plants
986	furniture	&lt;furniture&gt;			Artifacts
987	fable	fable			N/a
988	face	face			Body parts
989	faeces	faeces			Natural objects
990	fairy tale	fairy tale			Abstract entities
991	faith	faith			N/a
992	falcon	falcon			Animals
993	fallen woman	fallen woman			N/a
994	fallow	fallow	ground ploughed and harrowed but left unseeded for one year		N/a
995	fallow deer	fallow deer	mammal (Dama dama) belonging to the family Cervidae		N/a
996	false, wrong	false, wrong			Non-physical
997	falsified, fake	falsified, fake	forged, phony		N/a
998	fame	fame			Abstract entities
999	family	family			Human being
1000	family	family			Human being
1001	famous	famous	well known		N/a
1002	fan (hand-held)	fan (hand-held)	hand-held device consisting of concertinaed material, or slats of material, gathered together at one end, that may be opened out into the shape of a sector of a circle and waved back and forth in order to move air towards oneself and cool oneself		Plants
1003	fan (sport)	fan (sport)	someone who is a supporter of a certain sports team or sportsperson		N/a
1004	fan palm (Pritchardia pacifica)	fan palm (Pritchardia pacifica)			N/a
1005	fanatic	fanatic			N/a
1006	fang	fang			Body parts
1007	far away	far away			Space
1008	farm laborer	farm laborer			N/a
1009	farmer	farmer			Human being
1010	fascicle (cluster of flowers or berries)	fascicle (cluster of flowers or berries)			N/a
1011	fast (n.)	fast (n.)			Abstract entities
1012	fat (adj.) (of food)	fat (adj.) (of food)			N/a
1013	fat (adj.)(of a person)	fat (adj.)(of a person)			Other physical
1014	fat (n.)	fat (n.)	subcutaneous layer of fat tissue		N/a
1015	Fat Tuesday	Fat Tuesday	the day before the beginning of Lent on Ash Wednesday		N/a
1016	father	father			Human being
1017	father's brother	father&#39;s brother			N/a
1018	father-in-law	father-in-law			N/a
1019	fatless	fatless			Other physical
1020	favourite	favourite			Evaluation
1021	fearful, dreadful	fearful, dreadful			Non-physical
1022	feast	feast			Space
1023	feast (at a table)	feast (at a table)	very large meal, often of a ceremonial nature		N/a
1024	feather	feather			Body parts
1025	feathering	feathering			Body parts
1026	February	February			N/a
1027	fellow traveller	fellow traveller			Human being
1028	female ascetic	female ascetic			N/a
1029	female breast	female breast	None		N/a
1030	female calf	female calf			Animals
1031	female maral	female maral			N/a
1032	female servant, maid	female servant, maid			Human being
1033	fence	fence			N/a
1034	fenugreek	fenugreek	leguminous plant, Trigonella foenum-graecum, eaten as a vegetable and with seeds used as a spice		N/a
1035	ferment, leaven	ferment, leaven			Natural objects
1036	fern	fern	any of a group of some twenty thousand species of vascular plants classified in the division Pteridophyta that lack seeds and reproduce by shedding spores to initiate an alternation of generations		N/a
1037	fertile (soil)	fertile (soil)			Other physical
1038	fetlock	fetlock	joint of the horse&#39;s leg below the knee or hock and above the hoof		N/a
1039	fetters	fetters			N/a
1040	fetus	fetus	human embryo		N/a
1041	fever	fever			Abstract entities
1042	few, little	few, little	not many, small number of		N/a
1043	fibres prepared for spinning	fibres prepared for spinning			N/a
1044	fibula (anat.)	fibula (anat.)			Body parts
1045	field	field			Natural objects
1046	field bindweed	field bindweed	plant Convolvulus arvensis		N/a
1047	field sowthistle	field sowthistle	plant Sonchus arvensis		N/a
1048	fieldfare	fieldfare	bird Turdus pilaris		Other physical
1049	fifth	fifth	ordinal form of the number five		N/a
1050	fig	fig			N/a
1051	fighter plane	fighter plane			N/a
1052	figuratively	figuratively			N/a
1053	figure, stature	figure, stature			N/a
1054	film, movie	film, movie	recorded sequence of images displayed on a screen at a rate sufficiently fast to create the appearance of motion		N/a
1055	fin	fin			Body parts
1056	fine (fee as a punishment)	fine (fee as a punishment)			N/a
1057	fine, powder-like	fine, powder-like			Size
1058	finger-ring	finger-ring			Artifacts
1059	finger/toe	finger/toe			Body parts
1060	fire	fire			Natural objects
1061	fire (accident)	fire (accident)	the occurrence, often accidental, of fire in a certain place, causing damage and danger		N/a
1062	fire striker	fire striker	a piece of carbon steel from which sparks are struck by the sharp edge of flint, chert or similar rock		N/a
1063	fire-arms	fire-arms			Artifacts
1064	firearm	firearm	personal weapon that uses explosive powder to propel a projectile often made of lead		N/a
1065	firebug, Pyrrhocoris apterus	firebug, Pyrrhocoris apterus			N/a
1066	firefly	firefly			Animals
1067	fireplace	fireplace			Artifacts
1068	firewood	firewood			Natural objects
1069	fireworks	fireworks	device using gunpowder and other chemicals which, when lit, emits a combination of coloured flames, sparks, whistles or bangs, and sometimes made to rocket high into the sky before exploding, used for entertainment or celebration		N/a
1070	firm, solid	firm, solid			Other physical
1071	first	first			Quantity
1072	first time	first time			N/a
1073	firstborn	firstborn	first child to be born to a parent or family		N/a
1074	fish	fish			Animals
1075	fishbone	fishbone	bone from a fish		N/a
1076	fisherman	fisherman			N/a
1077	fishing float (bobber)	fishing float (bobber)			N/a
1078	fist	fist			N/a
1079	five	five			Abstract entities
1080	five-finger (Potentilla)	five-finger (Potentilla)			Plants
1081	flag	flag	piece of cloth, often decorated with an emblem, used as a visual signal or symbol		N/a
1082	flagellate	flagellate	A flagellate is a cell or organism with one or more whip-like appendages called flagella.		N/a
1083	flagellum	flagellum	hairlike appendage that protrudes from certain plant and animal sperm cells, and from a wide range of microorganisms to provide motility.		N/a
1084	flank (body part)	flank (body part)			Body parts
1085	flank (military)	flank (military)			Natural objects
1086	flat (adj)	flat (adj)			Other physical
1087	flat cake	flat cake			N/a
1088	flatbread	flatbread			N/a
1089	flattery	flattery	excessive praise or approval, which is often insincere and sometimes contrived to win favour		N/a
1090	flatus	flatus			N/a
1091	flax	flax	common flax (Linum usitatissimum); the processed stems of this plant and the fiber obtained from them		N/a
1092	flea	flea			Animals
1093	flexible	flexible	capable of being flexed or bent without breaking; able to be turned or twisted without breaking		Other physical
1094	flint	flint	hard, fine-grained quartz that fractures conchoidally and generates sparks when struck against a material such as steel, because tiny chips of the steel are heated to incandescence and burn in air		N/a
1095	flood, overflow (of the river)	flood, overflow (of the river)			N/a
1096	floor (vs. ceiling)	floor (vs. ceiling)			Artifacts
1097	flower	flower			Plants
1098	flower cup	flower cup			N/a
1099	fluff, down (of feather)	fluff, down (of feather)			N/a
1100	flute	flute			N/a
1101	fly (n.)	fly (n.)			Animals
1102	fly agaric (Amanita muscaria)	fly agaric (Amanita muscaria)			Plants
1103	flying fish	flying fish	tropical marine fish of the family Exocoetidae, having enlarged winglike pectoral fins enabling it to escape predators by taking short gliding flights through the air		N/a
1104	foal	foal	young horse, especially just after birth or less than a year old		N/a
1105	foam	foam			Natural objects
1106	fodder	fodder			Artifacts
1107	follower (of guru, leader)	follower (of guru, leader)		&lt;term of address to a woman_&gt;,disciple	N/a
1108	fontanelle	fontanelle	soft membraneous spot on the head of a baby due to incomplete fusion of the cranial bones		N/a
1109	food	food			Natural objects
1110	fool	fool			Human being
1111	foot	foot			Body parts
1112	foot	foot			Body parts
1113	foot-wear	foot-wear			N/a
1114	foot/leg	foot/leg			Body parts
1115	football fan	football fan			N/a
1116	footprint, track	footprint, track			Natural objects
1117	for removal 1	for removal 1	None		N/a
1118	forbidden	forbidden			N/a
1119	ford	ford			Natural objects
1120	forearm	forearm	part of the arm between the wrist and the elbow		N/a
1121	forehead	forehead			Body parts
1122	foreign	foreign			Non-physical
1123	forelock	forelock			Body parts
1124	foreskin	foreskin	retractable fold of skin which covers and protects the head of the penis in humans and some other animals		Physical effect
1125	forest	forest			Natural objects
1126	forget-me-not (flower)	forget-me-not (flower)			Plants
1127	fortress	fortress			Artifacts
1128	forty	forty	40		N/a
1129	foster-father	foster-father			N/a
1130	foundation ditch	foundation ditch			N/a
1131	foundation, basement	foundation, basement			N/a
1132	founder	founder			N/a
1133	fourth	fourth			N/a
1134	fox (Vulpes vulpes)	fox (Vulpes vulpes)			Animals
1135	foxglove (Digitalis L.)	foxglove (Digitalis L.)			Plants
1136	fragile	fragile			N/a
1137	francolin	francolin	bird Francolinus		N/a
1138	frank	frank			Non-physical
1139	frankincense	frankincense			N/a
1140	fraud, cheat	fraud, cheat			N/a
1141	fraudster	fraudster			N/a
1142	fraught with consequences	fraught with consequences			Evaluation
1143	freak, oddity	freak, oddity			Abstract entities
1144	freckle	freckle			Body parts
1145	free	free			Non-physical
1146	free of charge	free of charge			Non-physical
1147	freedom	freedom			N/a
1148	Freemason	Freemason			N/a
1149	frequent	frequent			Time
1150	fresh	fresh			Other physical
1151	fresh (of water)	fresh (of water)			Other physical
1152	Friday	Friday			Time
1153	fried eggs	fried eggs			Artifacts
1154	friend	friend			Human being
1155	friendly, amicable	friendly, amicable			Evaluation
1156	frigidity	frigidity			N/a
1157	frivolous	frivolous			Non-physical
1158	frog	frog			Animals
1159	from land to shore	from land to shore			N/a
1160	from the top to the bottom of the mountain	from the top to the bottom of the mountain			N/a
1161	front (during the war)	front (during the war)			Abstract entities
1162	front leg	front leg	forelimb of quadruped animals		N/a
1163	front part	front part			Space
1164	front part of foot	front part of foot			N/a
1165	frost	frost			Natural objects
1166	frozen	frozen			Other physical
1167	fruit	fruit			Plants
1168	fruit pulp	fruit pulp			Natural objects
1169	fuel	fuel	substance consumed to provide energy through combustion, or through chemical or nuclear reaction		N/a
1170	full	full			Non-physical
1171	full age	full age	time of life when a person is considered an adult		N/a
1172	full stop	full stop			Artifacts
1173	fun, gaiety	fun, gaiety			Abstract entities
1174	funnel	funnel			N/a
1175	funny	funny			Non-physical
1176	furious	furious			Non-physical
1177	furnace	furnace			Artifacts
1178	further	further	to, at or over a greater distance in space, time or other extent		N/a
1179	furuncle	furuncle	boil or infected, inflamed, pus-filled sore		N/a
1180	future	future			N/a
1181	(gun)powder	(gun)powder			Artifacts
1182	game	&lt;game&gt;	names of different games		N/a
1183	God	&lt;God&gt;	None		N/a
1184	going, walking	&lt;going, walking&gt;			Space
1185	gall bladder	gall bladder	pear-shaped organ that stores bile from the liver, until the body needs it for the digestion and absorption of fats in the duodenum		N/a
1186	galloon	galloon	metallic braid used for trimming clothing and uniforms		N/a
1187	game	game			N/a
1188	garbage	garbage			Natural objects
1189	garden	garden	outdoor area containing one or more types of plants, usually plants grown for food or ornamental purposes		N/a
1190	garden bed	garden bed	small mound of dug up soil in a vegetable garden, flower garden, etc.		N/a
1191	gardener	gardener	one who grows plants or cultivates a garden		N/a
1192	garlic (Allium sativum)	garlic (Allium sativum)	plant, Allium sativum, related to the onion, having a pungent bulb much used in cooking		Plants
1193	garlic-scented agaric	garlic-scented agaric	mushroom Mycetinis scorodonius (syn. Marasmius scorodonius), having a beige cap of up to 3 cm and a tough slender stipe		Plants
1194	gas	gas			N/a
1195	gate	gate			Artifacts
1196	gay	gay			Human being
1197	Gemini (constellation)	Gemini (constellation)	one of the constellations of the zodiac, lies between Taurus and Cancer		Non-physical
1198	general (military)	general (military)	holder of a senior military title		N/a
1199	generation	generation			Abstract entities
1200	genitalia	genitalia	external sex organs		Body parts
1201	genuine, true	genuine, true			Non-physical
1202	geometrid	geometrid	any of the family Geometridae of moths; a larva of such moth, which when walking alternate legs and prolegs, giving the appearance of measuring		Animals
1203	german (brother or sister)	german (brother or sister)	having the same mother and father		N/a
1204	giant	giant			Human being
1205	giant panda	giant panda	black and white mammal, Ailuropoda melanoleuca		N/a
1206	gills	gills	breathing organ of fish		Body parts
1207	gilt	gilt			N/a
1208	giraffe	giraffe	ruminant, of the genus Giraffa, of the African savannah with long legs and highly elongated neck, which make it the tallest living animal; yellow fur patterned with dark spots		Animals
1209	girl	girl	female child, adolescent, or a young woman		Human being
1210	girth	girth	band passed under the belly of an animal, which holds a saddle or a harness saddle in place		N/a
1211	glad	glad			Non-physical
1212	gladiolus	gladiolus	any of several flowering plants, of the genus Gladiolus, having sword-shaped leaves and showy flowers on spikes		N/a
1213	glans penis	glans penis	conical vascularized body forming the extremity of the penis		N/a
1214	glass (material)	glass (material)	solid, often transparent substance, usually made by melting silica sand with various additives		Artifacts
1215	glasswort	glasswort	salt-tolerant plant Salicornia europaea, once burned to produce the ash used to make soda glass		N/a
1216	glaucoma	glaucoma	eye disease or disorder that is defined as a characteristic optic neuropathy, or disease of the optic nerve, possibly, if untreated, leading to damage of the optic disc of the eye and resultant visual field loss due to lack of communication between the retina and the brain, which can lead to blindness		Physiology
1217	globeflower	globeflower	Trollius europaeus, a plant with globe-shaped flowers		N/a
1218	globus cruciger	globus cruciger	globe topped by a cross, used as a symbol of royal power		N/a
1219	gloomy, depressed	gloomy, depressed	suffering from gloom; melancholy; dejected.		Evaluation
1220	glue	glue	sticky adhesive substance		N/a
1221	glutton	glutton	one who eats voraciously, obsessively, or to excess; a gormandizer		Human being
1222	gnarl	gnarl	knot in wood; a large or hard knot, or a protuberance with twisted grain, on a tree		N/a
1223	goad	goad	long, pointed stick used to prod animals		N/a
1224	goal (sport result)	goal (sport result)	(sports) the act of placing the object into the goal; a point scored in a game as a result of placing the object into the goal		Abstract entities
1225	goal frame (sport)	goal frame (sport)	in sports, the structure of the goal, generally consisting of two goalposts and a crossbar		Artifacts
1226	goat	goat			Animals
1227	god	god			Abstract entities
1228	goddess	goddess	female deity		N/a
1229	godmother	godmother	woman present at the christening of a baby who promises to help raise the child in a Christian manner; a female godparent who sponsors the baptism of a child		N/a
1230	gold	gold	heavy yellow elemental metal of great value, with atomic number 79 and symbol Au		Natural objects
1231	goldcrest	goldcrest			Animals
1232	golden	golden			N/a
1233	golden oriole	golden oriole	bird Oriolus oriolus		N/a
1234	goldenrod	goldenrod	tall-stemmed plant principally from genus Solidago (also Oligoneuron), usually with clusters of small yellow flowers		N/a
1235	goldfinch (Carduelis)	goldfinch (Carduelis)	small bird European goldfinch (Carduelis carduelis)		Animals
1236	goldsmith	goldsmith	person who makes, repairs or sells things out of gold, especially jewelry		N/a
1237	good	good			Evaluation
1238	good (about weather)	good (about weather)			N/a
1239	good (ethically)	good (ethically)			N/a
1240	good manners	good manners			N/a
1241	good weather	good weather			Abstract entities
1242	goosander	goosander	bird Mergus merganser		N/a
1243	goose	goose			N/a
1244	gooseberry	gooseberry			Plants
1245	gossiper	gossiper	someone who likes to talk about other people&#39;s private or personal business		N/a
1246	grain, seed	grain, seed			Plants
1247	grandchild	grandchild			Human being
1248	granddaughter	granddaughter			N/a
1249	grandfather	grandfather			Human being
1250	grandmother	grandmother			Body parts
1251	grandparent	grandparent	parent of someone&#39;s parent		N/a
1252	grandson	grandson			N/a
1253	granule	granule			Natural objects
1254	grape (plant)	grape (plant)	plant, a vine of genus Vitis, winetree		N/a
1255	grape harvest	grape harvest			N/a
1256	grass	grass			Natural objects
1257	grass warbler	grass warbler	bird from genus Locustella		N/a
1258	grasshopper (Tettigonioidea)	grasshopper (Tettigonioidea)			Animals
1259	gratuity	gratuity			Artifacts
1260	grave	grave	burial place		N/a
1261	greasy	greasy			Other physical
1262	great	great			Evaluation
1263	great bilberry (Vaccinium uliginosum)	great bilberry (Vaccinium uliginosum)			Plants
1264	great-grandmother	great-grandmother			N/a
1265	greater celandine	greater celandine	plant Chelidonium majus		N/a
1266	greediness	greediness			Abstract entities
1267	greedy	greedy			Non-physical
